Key,File,Type,UsedInMainMenu,NoTranslate,english,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
bbhaUIMainTab,UI,Display,,,Main,Haupt ,Principal ,Principal ,Principale ,メイン ,메인 ,Główne ,Principal ,Основное ,Ana ,主要 ,主要 
bbhaTipMainTab,UI,Tooltip,,,Main settings.,Haupteinstellungen. ,Configuración principal. ,Paramètres principaux. ,Impostazioni principali. ,メイン設定。 ,주요 설정. ,Ustawienia główne. ,Configurações principais. ,Основные настройки. ,Ana ayarlar. ,主要设置。 ,主要設定。 
bbhaUIPresetsCat,UI,Display,,,[00FFFF]Presets[-],[00FFFF]Voreinstellungen[-] ,[00FFFF]Preajustes[-] ,[00FFFF]Préréglages[-] ,[00FFFF]Preimpostazioni[-] ,[00FFFF]プリセット[-] ,[00FFFF]프리셋[-] ,[00FFFF]Ustawienia wstępne[-] ,[00FFFF]Predefinições[-] ,[00FFFF]Предустановки[-] ,[00FFFF]Ön ayarlar[-] ,[00FFFF]预设[-] ,[00FFFF]預設[-] 
bbhaTipPresetsCat,UI,Tooltip,,,Default configuration presets tuned for realism or balance.,"Standardkonfigurations-Voreinstellungen, abgestimmt auf Realismus oder Balance. ",Preajustes de configuración predeterminados ajustados para realismo o equilibrio. ,Préréglages de configuration par défaut optimisés pour le réalisme ou l’équilibre. ,Preimpostazioni di configurazione predefinite ottimizzate per realismo o bilanciamento. ,リアリズムまたはバランスに調整されたデフォルト設定のプリセット。 ,현실성 또는 균형에 맞게 조정된 기본 구성 프리셋. ,Domyślne ustawienia konfiguracji dostosowane do realizmu lub równowagi. ,Predefinições de configuração padrão ajustadas para realismo ou equilíbrio. ,"Предустановки конфигурации по умолчанию, настроенные на реализм или баланс. ",Gerçekçilik veya denge için ayarlanmış varsayılan yapılandırma ön ayarları. ,针对真实感或平衡进行调整的默认配置预设。 ,針對真實感或平衡進行調整的預設配置預設。 
bbhaUILevelOfRealism,UI,Display,,,Level of Realism,Grad des Realismus ,Nivel de realismo ,Niveau de réalisme ,Livello di realismo ,リアリズムのレベル ,현실성 수준 ,Poziom realizmu ,Nível de realismo ,Уровень реализма ,Gerçekçilik seviyesi ,真实度水平 ,真實度水平 
bbhaTipLevelOfRealism,UI,Tooltip,,,"[00FFFF]Newtonian[-]\n→ Enemies take full damage when attacking blocks of strong materials unarmed.\n→ Enemies cannot damage blocks of very strong materials at all when unarmed, like steel.\n\n[00FFFF]Hollywood[-]\n→ Enemies take reduced damage when attacking blocks unarmed.\n→ Damage to blocks when unarmed scales with block damage, so stronger enemies are able to damage stronger blocks.\n\n[00FFFF]Anime[-]\n→ Enemies take no damage at all when attacking blocks unarmed.\n→ Enemies always deal at least a little bit of damage to blocks, regardless of block hardness.","[00FFFF]Newtonian[-]\n→ Gegner erleiden beim unbewaffneten Angriff auf Blöcke aus starken Materialien vollen Schaden.\n→ Gegner können Blöcke aus sehr starken Materialien wie Stahl unbewaffnet überhaupt nicht beschädigen.\n\n[00FFFF]Hollywood[-]\n→ Gegner erleiden beim unbewaffneten Angriff auf Blöcke verringerten Schaden.\n→ Der Schaden an Blöcken durch unbewaffnete Angriffe skaliert mit dem Blockschaden, sodass stärkere Gegner stärkere Blöcke beschädigen können.\n\n[00FFFF]Anime[-]\n→ Gegner erleiden beim unbewaffneten Angriff auf Blöcke überhaupt keinen Schaden.\n→ Gegner verursachen an Blöcken immer mindestens ein wenig Schaden, unabhängig von der Blockhärte. ","[00FFFF]Newtonian[-]\n→ Los enemigos reciben daño completo al atacar bloques de materiales resistentes sin armas.\n→ Los enemigos no pueden dañar en absoluto bloques de materiales muy resistentes, como el acero, cuando van desarmados.\n\n[00FFFF]Hollywood[-]\n→ Los enemigos reciben daño reducido al atacar bloques sin armas.\n→ El daño a los bloques al atacar sin armas escala con el daño al bloque, por lo que los enemigos más fuertes pueden dañar bloques más resistentes.\n\n[00FFFF]Anime[-]\n→ Los enemigos no reciben ningún daño al atacar bloques sin armas.\n→ Los enemigos siempre infligen al menos un poco de daño a los bloques, independientemente de la dureza del bloque. ","[00FFFF]Newtonian[-]\n→ Les ennemis subissent des dégâts complets lorsqu’ils attaquent des blocs de matériaux résistants à mains nues.\n→ Les ennemis ne peuvent pas du tout endommager les blocs de matériaux très résistants, comme l’acier, lorsqu’ils sont à mains nues.\n\n[00FFFF]Hollywood[-]\n→ Les ennemis subissent des dégâts réduits lorsqu’ils attaquent des blocs à mains nues.\n→ Les dégâts infligés aux blocs à mains nues évoluent avec les dégâts du bloc, ce qui permet aux ennemis plus forts d’endommager des blocs plus résistants.\n\n[00FFFF]Anime[-]\n→ Les ennemis ne subissent aucun dégât lorsqu’ils attaquent des blocs à mains nues.\n→ Les ennemis infligent toujours au moins un peu de dégâts aux blocs, quelle que soit leur dureté. ","[00FFFF]Newtonian[-]\n→ I nemici subiscono danni completi quando attaccano blocchi di materiali resistenti a mani nude.\n→ I nemici non possono danneggiare affatto i blocchi di materiali molto resistenti, come l’acciaio, quando sono a mani nude.\n\n[00FFFF]Hollywood[-]\n→ I nemici subiscono danni ridotti quando attaccano blocchi a mani nude.\n→ Il danno ai blocchi a mani nude scala con il danno del blocco, quindi i nemici più forti possono danneggiare blocchi più resistenti.\n\n[00FFFF]Anime[-]\n→ I nemici non subiscono alcun danno quando attaccano blocchi a mani nude.\n→ I nemici infliggono sempre almeno un po’ di danni ai blocchi, indipendentemente dalla durezza del blocco. ",[00FFFF]Newtonian[-]\n→ 敵は素手で強固な素材のブロックを攻撃すると、完全なダメージを受けます。\n→ 敵は素手では、鋼鉄のような非常に強固な素材のブロックにまったくダメージを与えられません。\n\n[00FFFF]Hollywood[-]\n→ 敵は素手でブロックを攻撃すると、受けるダメージが軽減されます。\n→ 素手でブロックに与えるダメージはブロックダメージに応じて変動するため、より強い敵はより強いブロックにダメージを与えられます。\n\n[00FFFF]Anime[-]\n→ 敵は素手でブロックを攻撃しても、まったくダメージを受けません。\n→ ブロックの硬さに関係なく、敵はブロックに常に少しはダメージを与えます。 ,"[00FFFF]Newtonian[-]\n→ 적은 맨손으로 강한 재질의 블록을 공격할 때 온전한 피해를 입습니다.\n→ 적은 맨손일 때 강철처럼 매우 강한 재질의 블록에는 전혀 피해를 줄 수 없습니다.\n\n[00FFFF]Hollywood[-]\n→ 적은 맨손으로 블록을 공격할 때 감소된 피해를 입습니다.\n→ 맨손으로 블록에 주는 피해는 블록 피해에 따라 조정되므로, 더 강한 적일수록 더 강한 블록을 손상시킬 수 있습니다.\n\n[00FFFF]Anime[-]\n→ 적은 맨손으로 블록을 공격해도 전혀 피해를 입지 않습니다.\n→ 블록의 단단함과 관계없이 적은 항상 블록에 최소한 조금은 피해를 줍니다. ","[00FFFF]Newtonian[-]\n→ Przeciwnicy otrzymują pełne obrażenia, gdy atakują bloki z mocnych materiałów gołymi rękami.\n→ Przeciwnicy nie mogą w ogóle uszkodzić bloków z bardzo mocnych materiałów, takich jak stal, gdy są bez broni.\n\n[00FFFF]Hollywood[-]\n→ Przeciwnicy otrzymują zmniejszone obrażenia, gdy atakują bloki bez broni.\n→ Obrażenia zadawane blokom bez broni skalują się z obrażeniami bloku, dzięki czemu silniejsi przeciwnicy mogą uszkadzać mocniejsze bloki.\n\n[00FFFF]Anime[-]\n→ Przeciwnicy nie otrzymują żadnych obrażeń, gdy atakują bloki bez broni.\n→ Przeciwnicy zawsze zadają blokom przynajmniej trochę obrażeń, niezależnie od twardości bloku. ","[00FFFF]Newtonian[-]\n→ Os inimigos sofrem dano total ao atacar blocos de materiais resistentes desarmados.\n→ Os inimigos não conseguem causar nenhum dano a blocos de materiais muito resistentes, como aço, quando estão desarmados.\n\n[00FFFF]Hollywood[-]\n→ Os inimigos sofrem dano reduzido ao atacar blocos desarmados.\n→ O dano causado aos blocos quando desarmados escala com o dano ao bloco, então inimigos mais fortes conseguem danificar blocos mais fortes.\n\n[00FFFF]Anime[-]\n→ Os inimigos não sofrem dano algum ao atacar blocos desarmados.\n→ Os inimigos sempre causam pelo menos um pouco de dano aos blocos, independentemente da dureza do bloco. ","[00FFFF]Newtonian[-]\n→ Противники получают полный урон, когда атакуют блоки из прочных материалов без оружия.\n→ Противники вообще не могут повредить блоки из очень прочных материалов, таких как сталь, без оружия.\n\n[00FFFF]Hollywood[-]\n→ Противники получают уменьшенный урон, когда атакуют блоки без оружия.\n→ Урон по блокам без оружия масштабируется с уроном по блоку, поэтому более сильные противники могут повреждать более прочные блоки.\n\n[00FFFF]Anime[-]\n→ Противники вообще не получают урона, когда атакуют блоки без оружия.\n→ Противники всегда наносят блокам хотя бы немного урона, независимо от прочности блока. ","[00FFFF]Newtonian[-]\n→ Düşmanlar, güçlü malzemelerden yapılmış bloklara silahsız saldırdıklarında tam hasar alır.\n→ Düşmanlar, çelik gibi çok güçlü malzemelerden yapılmış bloklara silahsızken hiç zarar veremez.\n\n[00FFFF]Hollywood[-]\n→ Düşmanlar, bloklara silahsız saldırdıklarında azaltılmış hasar alır.\n→ Silahsızken bloklara verilen hasar, blok hasarına göre ölçeklenir; bu nedenle daha güçlü düşmanlar daha güçlü bloklara zarar verebilir.\n\n[00FFFF]Anime[-]\n→ Düşmanlar, bloklara silahsız saldırdıklarında hiç hasar almaz.\n→ Blok sertliği ne olursa olsun, düşmanlar bloklara her zaman en az biraz hasar verir. ",[00FFFF]Newtonian[-]\n→ 敌人在徒手攻击坚固材料的方块时会承受全部伤害。\n→ 敌人在徒手时根本无法破坏非常坚固材料的方块，例如钢。\n\n[00FFFF]Hollywood[-]\n→ 敌人在徒手攻击方块时受到的伤害会降低。\n→ 徒手对方块造成的伤害会随方块伤害值而变化，因此更强的敌人能够破坏更坚固的方块。\n\n[00FFFF]Anime[-]\n→ 敌人在徒手攻击方块时根本不会受到伤害。\n→ 无论方块有多硬，敌人都会至少对方块造成一点伤害。 ,[00FFFF]Newtonian[-]\n→ 敵人在徒手攻擊堅固材料的方塊時會承受完整傷害。\n→ 敵人在徒手時根本無法破壞非常堅固材料的方塊，例如鋼。\n\n[00FFFF]Hollywood[-]\n→ 敵人在徒手攻擊方塊時受到的傷害會降低。\n→ 徒手對方塊造成的傷害會隨方塊傷害值而變化，因此更強的敵人能夠破壞更堅固的方塊。\n\n[00FFFF]Anime[-]\n→ 敵人在徒手攻擊方塊時根本不會受到傷害。\n→ 無論方塊有多硬，敵人都會至少對方塊造成一點傷害。 
bbhaUIFeaturesCat,UI,Display,,,[00FFFF]Features[-],[00FFFF]Funktionen[-] ,[00FFFF]Características[-] ,[00FFFF]Fonctionnalités[-] ,[00FFFF]Funzionalità[-] ,[00FFFF]機能[-] ,[00FFFF]기능[-] ,[00FFFF]Funkcje[-] ,[00FFFF]Recursos[-] ,[00FFFF]Функции[-] ,[00FFFF]Özellikler[-] ,[00FFFF]功能[-] ,[00FFFF]功能[-] 
bbhaTipFeaturesCat,UI,Tooltip,,,Toggle features on and off.,Funktionen ein- und ausschalten,Alternar funciones,Activer ou désactiver les fonctionnalités,Attiva o disattiva le funzionalità,機能のオン／オフを切り替えます,기능을 켜고 끕니다,Przełącz funkcje włączone i wyłączone,Ativar e desativar recursos,Включать и отключать функции,Özellikleri açıp kapatın,切换功能的开关,切換功能開啟與關閉
bbhaUIReturnDamage,UI,Display,,,Return Damage,Rückschaden,Daño de retorno,Dégâts de retour,Danno di ritorno,反射ダメージ,반사 피해,Obrażenia zwrotne,Dano de retorno,Возвратный урон,Yansıtılan hasar,反伤害,反傷害
bbhaTipReturnDamage,UI,Tooltip,,,"When enabled, enemies take damage from attacking hard blocks. The amount of damage returned is proportional to how much force the block absorbs. Disable this for a more forgiving experience where enemies never hurt themselves.","Wenn aktiviert, erleiden Feinde Schaden, wenn sie harte Blöcke angreifen. Die Höhe des zurückgegebenen Schadens ist proportional dazu, wie viel Kraft der Block absorbiert. Deaktivieren Sie dies für ein nachsichtigeres Erlebnis, bei dem sich Feinde niemals selbst verletzen.","Cuando está activado, los enemigos reciben daño al atacar bloques duros. La cantidad de daño devuelto es proporcional a la fuerza que absorbe el bloque. Desactívalo para una experiencia más indulgente en la que los enemigos nunca se hieren a sí mismos.","Lorsque cette option est activée, les ennemis subissent des dégâts en attaquant des blocs durs. La quantité de dégâts renvoyés est proportionnelle à la force absorbée par le bloc. Désactivez cette option pour une expérience plus indulgente où les ennemis ne se blessent jamais eux-mêmes.","Quando è abilitato, i nemici subiscono danni quando attaccano blocchi duri. La quantità di danno restituito è proporzionale alla forza assorbita dal blocco. Disattivalo per un’esperienza più indulgente in cui i nemici non si feriscono mai da soli.",有効にすると、敵は硬いブロックを攻撃した際にダメージを受けます。返されるダメージ量は、ブロックが吸収する力に比例します。無効にすると、敵が自分自身を傷つけない、より緩やかな体験になります。,활성화하면 적이 단단한 블록을 공격할 때 피해를 입습니다. 되돌아오는 피해량은 블록이 흡수하는 힘에 비례합니다. 비활성화하면 적이 스스로 다치지 않는 더 관대한 경험이 됩니다.,"Gdy opcja jest włączona, przeciwnicy otrzymują obrażenia, atakując twarde bloki. Ilość zwracanego obrażenia jest proporcjonalna do siły pochłanianej przez blok. Wyłącz to, aby uzyskać bardziej wybaczające doświadczenie, w którym przeciwnicy nigdy nie ranią samych siebie.","Quando ativado, os inimigos sofrem dano ao atacar blocos duros. A quantidade de dano devolvido é proporcional à força que o bloco absorve. Desative isto para uma experiência mais permissiva, na qual os inimigos nunca se machucam.","Когда эта функция включена, враги получают урон при атаке твёрдых блоков. Количество возвращаемого урона пропорционально силе, которую поглощает блок. Отключите это для более щадящего режима, в котором враги никогда не вредят сами себе.","Etkinleştirildiğinde, düşmanlar sert bloklara saldırırken hasar alır. Geri dönen hasar miktarı, bloğun emdiği kuvvetle orantılıdır. Düşmanların kendilerine asla zarar vermediği daha hoşgörülü bir deneyim için bunu devre dışı bırakın.",启用后，敌人在攻击坚硬方块时会受到伤害。返还的伤害量与方块吸收的力量成正比。禁用此项可获得更宽容的体验，使敌人永远不会伤到自己。,啟用後，敵人在攻擊堅硬方塊時會受到傷害。返還的傷害量與方塊吸收的力量成正比。停用此項可獲得更寬容的體驗，使敵人永遠不會傷到自己。
